Time,X(CH1),X(CH2),
Second,Volt,Volt,
7.6293945e-06,-0.00000e+00,8.24000e+00,
2.9304503e-02,-0.00000e+00,8.24000e+00,
5.8601376e-02,-0.00000e+00,8.24000e+00,
8.7898247e-02,-0.00000e+00,8.24000e+00,
1.1719512e-01,-0.00000e+00,8.24000e+00,
1.4649199e-01,-0.00000e+00,8.24000e+00,
1.7578886e-01,-0.00000e+00,8.24000e+00,
2.0508574e-01,-0.00000e+00,8.24000e+00,
2.3438261e-01,-0.00000e+00,8.24000e+00,
2.6367947e-01,-0.00000e+00,8.24000e+00,
2.9297635e-01,-0.00000e+00,8.24000e+00,
3.2227322e-01,-0.00000e+00,8.24000e+00,
3.5157010e-01,-0.00000e+00,8.24000e+00,
3.8086697e-01,-0.00000e+00,8.24000e+00,
4.1016385e-01,-0.00000e+00,8.24000e+00,
4.3946072e-01,-0.00000e+00,8.24000e+00,
4.6875760e-01,-0.00000e+00,8.24000e+00,
4.9805447e-01,-0.00000e+00,8.24000e+00,
5.2735132e-01,-0.00000e+00,8.24000e+00,
5.5664819e-01,7.99999e-02,8.24000e+00,
5.8594507e-01,-0.00000e+00,8.24000e+00,
6.1524194e-01,-0.00000e+00,8.24000e+00,
6.4453882e-01,-0.00000e+00,8.24000e+00,
6.7383569e-01,-0.00000e+00,8.24000e+00,
7.0313257e-01,-0.00000e+00,8.24000e+00,
7.3242944e-01,-0.00000e+00,8.24000e+00,
7.6172632e-01,4.00000e-02,8.24000e+00,
7.9102319e-01,7.99999e-02,8.24000e+00,
8.2032007e-01,4.00000e-02,8.24000e+00,
8.4961694e-01,-0.00000e+00,8.24000e+00,
8.7891382e-01,-0.00000e+00,8.24000e+00,
9.0821069e-01,-0.00000e+00,8.24000e+00,
9.3750757e-01,-0.00000e+00,8.24000e+00,
9.6680444e-01,4.00000e-02,8.24000e+00,
9.9610132e-01,-0.00000e+00,8.24000e+00,
1.0253981e+00,-0.00000e+00,8.24000e+00,
1.0546950e+00,-0.00000e+00,8.24000e+00,
1.0839919e+00,-0.00000e+00,8.24000e+00,
1.1132888e+00,-0.00000e+00,8.24000e+00,
1.1425856e+00,-0.00000e+00,8.24000e+00,
1.1718825e+00,-0.00000e+00,8.24000e+00,
1.2011794e+00,4.00000e-02,8.24000e+00,
1.2304763e+00,4.00000e-02,8.24000e+00,
1.2597731e+00,-0.00000e+00,8.24000e+00,
1.2890700e+00,-0.00000e+00,8.24000e+00,
1.3183669e+00,-0.00000e+00,8.24000e+00,
1.3476638e+00,-0.00000e+00,8.24000e+00,
1.3769606e+00,4.00000e-02,8.24000e+00,
1.4062575e+00,4.00000e-02,8.24000e+00,
1.4355544e+00,-0.00000e+00,8.24000e+00,
1.4648513e+00,4.00000e-02,8.24000e+00,
1.4941481e+00,7.99999e-02,8.24000e+00,
1.5234450e+00,4.00000e-02,8.24000e+00,
1.5527419e+00,-0.00000e+00,8.24000e+00,
1.5820388e+00,-0.00000e+00,8.24000e+00,
1.6113356e+00,-0.00000e+00,8.24000e+00,
1.6406325e+00,4.00000e-02,8.24000e+00,
1.6699294e+00,-0.00000e+00,8.24000e+00,
1.6992263e+00,-0.00000e+00,8.24000e+00,
1.7285231e+00,4.00000e-02,8.24000e+00,
1.7578200e+00,-0.00000e+00,8.24000e+00,
1.7871169e+00,-0.00000e+00,8.24000e+00,
1.8164138e+00,-0.00000e+00,8.24000e+00,
1.8457106e+00,-0.00000e+00,8.24000e+00,
1.8750075e+00,4.00000e-02,8.24000e+00,
1.9043044e+00,7.99999e-02,8.24000e+00,
1.9336013e+00,-0.00000e+00,8.24000e+00,
1.9628981e+00,4.00000e-02,8.24000e+00,
1.9921950e+00,-0.00000e+00,8.24000e+00,
2.0214918e+00,-0.00000e+00,8.24000e+00,
